   1775818;  40022784;        24;    566882
   1775818;   1775817;        11;    566940
   1775817;   1775818;        11;    566940
   1775817;   1775815;        23;     25362
   1775815;   1775817;        23;     25362
   1775815;  40007755;         7;     25122
  40007755;   1775815;         7;     25122
  40007755;  40007753;         7;     25123
  40007753;  40007755;         7;     25123
  40007753;  40007751;         7;     25124
  40007751;  40007753;         7;     25124
  40007751;  40007749;         7;     25125
  40007749;  40007751;         7;     25125
  40007749;  40007747;         7;     25126
  40007747;  40007749;         7;     25126
  40008080;  40008120;         1;    566981
  40008120;  40008080;         1;    566981
   1781970;   1781969;         3;    308483
   1781969;   1781970;         3;    308483
   1781969;   1781968;         3;    308482
   1781968;   1781969;         3;    308482
   1781968;   1781959;         3;    308481
   1781959;   1781968;         3;    308481
   1778435;   1778436;         4;     25263
   1778436;   1778435;         4;     25263
   1781973;   1781959;         5;    567140
   1781959;   1781973;         5;    567140
   1781172;   1781970;         3;    308484
   1662372;   1662373;         2;    108076
   1662372;   1664042;         6;    108066
   1664042;   1662372;         6;    108066
   1662373;   1662372;         2;    108076
  40008120;   1783233;         3;    308487
   1783233;  40008120;         3;    308487
   1783233;   1783235;         3;    308486
   1783235;   1783233;         3;    308486
   1783235;   1781172;         3;    308485
   1781172;   1783235;         3;    308485
   1781970;   1781172;         3;    308484
   1659625;   1659624;         5;    104522
   1659624;   1659625;         5;    104522
   1659624;   1659623;         5;    104649
   1659623;   1659624;         5;    104649
   1659623;   1659621;         5;    104710
   1659621;   1659623;         5;    104710
   1659621;   1659622;         5;    104751
   1659622;   1659621;         5;    104751
   1659622;   1664043;         5;    408044
   1664043;   1659622;         5;    408044
   1664043;   1664042;         6;    104853
   1664042;   1664043;         6;    104853
  40008115;  40011118;         4;    109786
  40011118;  40008115;         4;    109786
   1781974;   1781975;         2;    103128
   1781975;   1781974;         2;    103128
   1781974;   1781973;         1;    103099
   1781973;   1781974;         1;    103099
   1781975;   1781976;         1;    103227
   1781976;   1781975;         1;    103227
   1781976;   1782527;         3;    103281
   1782527;   1781976;         3;    103281
   1782527;   1782526;         3;    103335
   1782526;   1782527;         3;    103335
   1659625;  40008114;         1;    104355
  40008114;   1659625;         1;    104355
  40008114;  40112044;         4;    104432
  40011118;   1659627;         2;    110040
   1659627;  40011118;         2;    110040
  40008080;  40008081;         3;    105484
  40008081;  40008080;         3;    105484
  40008081;  40008085;         3;    105534
  40008085;  40008081;         3;    105534
  40008085;  40008089;         3;    105576
  40008089;  40008085;         3;    105576
  40008089;  40008091;         3;    105598
  40008091;  40008089;         3;    105598
  40008091;  40008093;         3;    105629
  40008093;  40008091;         3;    105629
  40008093;  40008096;         3;    105652
  40008096;  40008093;         3;    105652
  40008096;  40008098;         3;    105685
  40008098;  40008096;         3;    105685
  40008098;   1662373;         3;    105737
   1662373;  40008098;         3;    105737
   1781959;   1781966;         2;    108600
   1781966;   1781959;         2;    108600
   1782526;   1782525;         3;    567160
   1782525;   1782526;         3;    567160
  40007744;  40007747;         7;    367906
  40007747;  40007744;         7;    367906
  40007744;   1775808;        12;    367931
   1775808;  40007744;        12;    367931
   1775808;   1775810;         4;    368323
   1775810;   1775808;         4;    368323
   1775810;   1775811;         4;    368406
   1775811;   1775810;         4;    368406
   1775811;   1778439;         6;    368465
   1778439;   1775811;         6;    368465
   1778439;   1778438;         6;    368483
   1778438;   1778439;         6;    368483
   1778438;   1778437;         4;    368503
   1778437;   1778438;         4;    368503
   1778437;   1778435;         4;    368543
   1778435;   1778437;         4;    368543
   1778436;   1781168;         3;    420282
   1781168;   1778436;         3;    420282
   1781168;   1781169;         3;    420281
   1781169;   1781168;         3;    420281
   1781169;   1783234;         3;    368683
   1783234;   1781169;         3;    368683
   1783234;   1783231;         3;    368703
   1783231;   1783234;         3;    368703
   1783231;   1783232;         3;    566980
   1783232;   1783231;         3;    566980
   1783232;  40008080;         3;    368763
  40008080;   1783232;         3;    368763
   1781966;  40097845;         1;    567121
  40097845;   1781966;         1;    567121
  40097845;  40097847;         1;    529340
   1782525;  40097929;         1;    529401
  40097929;   1782525;         1;    529401
  40097929;  40097931;         1;    529440
  40098640;   1659627;         6;    567000
   1659627;  40098640;         6;    567000
  40098640;  40098642;         1;    545941
  40112044;  40008114;         4;    104432
  40112044;  40008115;         4;    664200
  40008115;  40112044;         4;    664200
