   1486174;   1486173;         6;       770
   1486187;   1486179;        10;     68888
   1486173;   1486174;         6;       770
   1486174;   1486179;         9;     68173
   1486179;   1486174;         9;     68173
   1486179;   1486187;        10;     68888
   1482356;  40010688;         2;     63572
  40010688;   1482356;         2;     63572
   1482353;   1482356;         6;     94479
   1482356;   1482353;         6;     94479
  40010688;  40010705;         2;     63579
  40010705;  40010688;         2;     63579
  40010705;  40010711;         2;     63583
  40010711;  40010705;         2;     63583
  40010711;  40010712;         2;     63587
  40010712;  40010711;         2;     63587
  40010712;   1483355;         2;     63590
   1483355;  40010712;         2;     63590
   1483355;   1483356;         2;     63597
   1483356;   1483355;         2;     63597
   1633531;   1633533;        10;     73264
   1633531;   1633528;        10;     73315
   1633528;   1633531;        10;     73315
   1633528;   1633529;        10;     73402
   1633529;   1633528;        10;     73402
   1633529;  40050893;        14;     73550
   1634217;   1634216;        14;     73639
   1634216;   1634217;        14;     73639
   1634211;   1631616;        14;     74545
   1631616;   1634211;        14;     74545
   1631616;  40050790;        18;     74601
   1631620;  40050791;        14;     75165
   1631620;   1631619;        14;     75201
   1631619;   1631620;        14;     75201
   1631619;   1641111;        14;     75242
   1641111;   1631619;        14;     75242
   1641111;   1641113;        17;     75261
   1641113;   1641111;        17;     75261
   1641113;   1639024;        14;     75325
   1639024;   1641113;        14;     75325
   1639024;   1639025;        14;     75354
   1639025;   1639024;        14;     75354
   1639025;   1639027;        14;     75365
   1639027;   1639025;        14;     75365
   1639027;   1639786;        14;     75421
   1639786;   1639027;        14;     75421
   1639786;   1639787;        18;     75462
   1639787;   1639786;        18;     75462
   1639787;   1639776;        14;     75548
   1639776;   1639787;        14;     75548
   1639776;   1639777;        15;     76400
   1639777;   1639776;        15;     76400
   1639777;   1639779;        15;     76441
   1639777;   1639798;         3;     76442
   1639779;   1639777;        15;     76441
   1639798;   1639777;         3;     76442
   1639779;   1639780;        15;     76517
   1639780;   1639779;        15;     76517
   1639780;   1640546;        14;     76546
   1640546;   1639780;        14;     76546
   1640546;   1637316;        14;     76746
   1637316;   1640546;        14;     76746
   1637316;   1637317;        14;     77463
   1768455;  40021897;         1;     78829
  40021897;   1768455;         1;     78829
   1486208;   1620416;         6;    364181
   1620416;   1486208;         6;    364181
   1620416;  40001242;         6;     43709
  40001242;   1620416;         6;     43709
  40001170;   1492420;         2;     65513
   1492420;  40001170;         2;     65513
   1492420;   1492421;         3;     65526
   1492421;   1492420;         3;     65526
   1634216;  40050887;        14;     74436
   1637317;   1637318;        14;     77522
   1637318;   1637317;        14;     77522
   1637318;   1644692;        14;     77555
   1644692;   1637318;        14;     77555
   1644692;   1644693;        14;     77581
   1644693;   1644692;        14;     77581
   1644693;   1644675;        14;     77639
   1644675;   1644693;        14;     77639
   1644675;   1644676;        13;     77675
   1644676;   1644675;        13;     77675
   1644676;   1644677;        13;     77716
   1644677;   1644676;        13;     77716
   1645206;   1644677;         5;     77766
   1644677;   1645206;         5;     77766
   1645206;   1763372;         6;     77908
   1763372;   1645206;         6;     77908
   1763372;   1763320;         6;     77920
   1763320;   1763372;         6;     77920
   1763320;   1763964;         6;     77994
   1763964;   1763320;         6;     77994
   1763964;   1763963;        15;     78623
   1763963;   1763964;        15;     78623
   1763963;   1764296;        15;     78662
   1764296;   1763963;        15;     78662
   1764296;   1764295;        15;     78691
   1764295;   1764296;        15;     78691
   1764295;   1761868;         9;     78755
   1761868;   1764295;         9;     78755
   1761868;   1768455;         6;     78786
   1768455;   1761868;         6;     78786
   1483356;  40010732;         2;     63610
  40010732;   1483356;         2;     63610
  40021897;  40041931;         1;     79252
   1479080;   1479079;         6;     64424
   1479080;   1479083;         2;     64542
   1479083;   1479080;         2;     64542
   1479079;   1479080;         6;     64424
   1479082;  40118376;         2;     64802
   1479082;   1492419;         3;     64823
   1492419;   1479082;         3;     64823
   1492419;  40001170;         6;     65482
  40001170;   1492419;         6;     65482
   1621472;   1621471;        10;     70402
   1621471;   1621472;        10;     70402
   1621471;  40055869;        18;     70661
   1621469;   1621474;        18;     71680
   1621474;   1621469;        18;     71680
   1621474;   1621476;        18;     71782
   1621476;   1621474;        18;     71782
   1621477;   1621476;        18;     72030
   1621477;   1621479;        18;     72088
   1621476;   1621477;        18;     72030
   1621479;   1621477;        18;     72088
   1621479;   1632611;        18;     72142
   1632611;   1621479;        18;     72142
   1632625;   1632624;        14;     73089
   1632625;   1633533;        14;     73207
   1632624;   1632625;        14;     73089
   1633533;   1632625;        14;     73207
   1633533;   1633531;        10;     73264
   1492421;   1492422;         6;     65586
   1492422;   1492421;         6;     65586
   1492422;   1492383;        10;     65636
   1492383;   1492422;        10;     65636
   1488107;   1488108;         5;     66685
   1488108;   1492415;        11;     66682
   1488108;   1488107;         5;     66685
   1492415;   1488108;        11;     66682
   1488107;   1488106;         5;     66813
   1488106;   1488107;         5;     66813
   1488106;   1489352;         5;     67181
   1489352;   1488106;         5;     67181
   1489352;   1489353;         5;     67696
   1489353;   1489352;         5;     67696
   1489353;   1485306;         5;     67838
   1485306;   1489353;         5;     67838
  40010732;   1479062;         2;     63721
   1479062;  40010732;         2;     63721
  40001167;   1479063;         8;     63964
  40001167;   1479081;         5;     64188
   1479063;  40001167;         8;     63964
   1479081;  40001167;         5;     64188
   1479081;   1479079;         5;     64211
   1479079;   1479081;         5;     64211
   1486187;  40001234;        14;     69725
  40001234;   1486205;        14;     69890
  40001234;   1486209;        14;     69900
   1486209;  40001234;        14;     69900
   1486209;   1486208;         8;     69922
   1486208;   1486209;         8;     69922
   1486205;   1486181;        10;     70234
   1621472;   1486181;        10;     70327
   1485306;   1486173;         5;     67868
   1486173;   1485306;         5;     67868
  40001234;   1486187;        14;     69725
   1486205;  40001234;        14;     69890
   1486181;   1486205;        10;     70234
   1486181;   1621472;        10;     70327
   1637317;   1637316;        14;     77463
  40050887;   1634216;        14;     74436
  40050887;   1634211;        14;     74498
   1634211;  40050887;        14;     74498
  40055869;   1621471;        18;     70661
  40055869;   1621469;        18;     71639
   1621469;  40055869;        18;     71639
  40050791;   1631620;        14;     75165
  40050791;  40050790;        18;     74661
  40050790;  40050791;        18;     74661
  40055884;   1632611;        18;     72348
   1632611;  40055884;        18;     72348
   1632614;   1632621;        10;     72494
   1632621;   1632614;        10;     72494
   1632614;  40055884;        18;     72435
   1632621;   1632624;        14;     72739
   1632624;   1632621;        14;     72739
  40050893;   1633529;        14;     73550
  40050893;   1634217;        14;     73595
   1634217;  40050893;        14;     73595
  40055884;   1632614;        18;     72435
   1479063;   1479062;         5;     63773
   1479062;   1479063;         5;     63773
  40050790;   1631616;        18;     74601
   1322982;   1322988;         5;     99910
   1322988;   1322982;         5;     99910
   1322982;   1322980;        10;     99911
   1322980;   1322982;        10;     99911
   1318858;   1319917;         2;     94602
   1319917;   1318858;         2;     94602
   1319917;   1319904;         6;     94743
   1319904;   1319917;         6;     94743
   1319904;   1319915;         7;     95719
   1319915;   1319904;         7;     95719
   1615410;   1615417;         7;    152401
   1615417;   1615410;         7;    152401
   1615410;   1615398;         3;    364180
   1615398;   1615410;         3;    364180
   1482353;   1318858;         2;     94475
   1318858;   1482353;         2;     94475
   1319915;   1318852;         7;    100447
   1322980;   1322981;        10;    100040
   1322981;   1322980;        10;    100040
   1322981;   1318852;         7;    100348
   1318852;   1322981;         7;    100348
   1318852;   1319915;         7;    100447
   1321808;   1321807;         6;    103839
   1321807;   1321808;         6;    103839
   1321807;   1322992;         6;    103873
   1322992;   1321807;         6;    103873
   1322992;   1322991;         6;    103967
   1322991;   1322992;         6;    103967
   1331127;   1331137;        17;    126912
   1331137;   1331127;        17;    126912
   1331127;   1331116;        17;    127105
   1331116;   1331127;        17;    127105
   1325835;   1325836;         6;    102792
   1325836;   1325835;         6;    102792
   1325835;   1325841;        17;    102793
   1325841;   1325835;        17;    102793
   1325836;   1321808;         6;    103729
   1321808;   1325836;         6;    103729
   1322991;   1322990;         6;    104086
   1322990;   1322991;         6;    104086
   1322990;   1322989;         9;    104126
   1322989;   1322990;         9;    104126
   1322989;   1322988;         6;    104408
   1322988;   1322989;         6;    104408
    118204;    118208;        14;    136517
    118208;    118204;        14;    136517
    118208;    129174;        28;    136794
    129174;    118208;        28;    136794
    129174;  40072106;        45;    422340
    118206;    118202;        17;    134565
    118202;    118206;        17;    134565
    118206;    118204;        14;    136275
    118204;    118206;        14;    136275
  40001242;   1620412;         6;    118861
   1620412;  40001242;         6;    118861
   1620412;   1620423;         6;    119171
   1620423;   1620412;         6;    119171
   1620423;   1620424;         6;    119399
   1620424;   1620423;         6;    119399
   1620424;   1620420;         6;    119490
   1620420;   1620424;         6;    119490
   1620420;   1620418;         6;    119524
