   1263535;3 251 12                                                                                                                                                                                                ;     60.33;  -3355.33;       104
   1263533;3 251 13                                                                                                                                                                                                ;     46.46;  -3382.25;       104
   1263526;3 251 10                                                                                                                                                                                                ;    119.49;  -3382.63;       104
   1263529;3 251 11                                                                                                                                                                                                ;     96.66;  -3371.43;       104
  40080913;3 251 2003                                                                                                                                                                                              ;   -117.71;  -3316.24;       104
 120374469;2 200 2066                                                                                                                                                                                              ;   -790.57;  -1198.33;       104
 120374468;2 200 2067                                                                                                                                                                                              ;   -820.01;  -1231.83;       104
 120374467;2 200 2068                                                                                                                                                                                              ;   -840.78;  -1256.59;       104
  40117966;2 200 191                                                                                                                                                                                               ;  -1137.05;  -1776.03;       104
  40117968;2 200 192                                                                                                                                                                                               ;  -1156.33;  -1805.38;       104
  40118497;3 2082 159                                                                                                                                                                                              ;  -1057.07;  -1687.93;       104
  40118689;3 2082 328                                                                                                                                                                                              ;  -1043.21;     -1697;       104
  40118690;3 2082 329                                                                                                                                                                                              ;  -1036.18;  -1672.16;       104
  40159460;2 200 47                                                                                                                                                                                                ;   -656.54;  -1115.85;       104
  40159466;2 200 48                                                                                                                                                                                                ;      -663;  -1064.78;       104
  40159470;2 200 49                                                                                                                                                                                                ;    -641.5;  -1031.15;       104
  40159484;2 200 50                                                                                                                                                                                                ;   -688.05;   -999.15;       104
  40159488;2 200 51                                                                                                                                                                                                ;   -706.53;  -1010.05;       104
  40159500;2 200 52                                                                                                                                                                                                ;   -810.87;  -1045.72;       104
  40157578;2 200 43                                                                                                                                                                                                ;   -670.42;  -1215.93;       104
  40157572;2 200 2027                                                                                                                                                                                              ;   -786.13;  -1193.85;       104
  40157573;2 200 2028                                                                                                                                                                                              ;   -751.02;   -1199.1;       104
  40157575;2 200 2030                                                                                                                                                                                              ;   -690.88;  -1208.62;       104
 120018669;2 200 44                                                                                                                                                                                                ;   -636.57;  -1132.02;       104
 120121450;2 200 2059                                                                                                                                                                                              ;   -980.67;  -1545.01;       104
 120121449;2 200 2060                                                                                                                                                                                              ;   -988.74;  -1567.72;       104
 120121448;2 200 2061                                                                                                                                                                                              ;   -996.48;  -1572.59;       104
 120121457;2 200 2062                                                                                                                                                                                              ;  -1004.48;  -1587.22;       104
 120121456;2 200 2063                                                                                                                                                                                              ;  -1010.83;  -1587.96;       104
 120121447;2 200 2064                                                                                                                                                                                              ;  -1036.57;  -1632.91;       104
  40173346;2 200 2065                                                                                                                                                                                              ;   -1048.7;   -1670.1;       104
 120121455;2 200 2054                                                                                                                                                                                              ;    -912.9;  -1392.12;       104
 120121454;2 200 2055                                                                                                                                                                                              ;    -929.2;  -1427.62;       104
 120121453;2 200 2056                                                                                                                                                                                              ;   -924.45;  -1448.24;       104
 120121452;2 200 2057                                                                                                                                                                                              ;   -941.88;  -1479.87;       104
 120121451;2 200 2058                                                                                                                                                                                              ;   -953.09;  -1488.57;       104
