як1455                        ;       251;      2226;   2726205;    126974
як1455                        ;       251;      2226;   2726206;    312986
як1455                        ;       251;      2226;   2726230;    239660
як1455                        ;       251;      2226;   2726232;    235076
як1455                        ;       251;      2226;   2726236;    249646
як1455                        ;       251;      2226;   2726237;    249772
як1455                        ;       251;      2226;   2726238;    249794
як1455                        ;       251;      2226;   2726239;    399268
як1455                        ;       251;      2226;   2726240;    249805
як1455                        ;       251;      2226;   2726241;    127116
як1455                        ;       251;      2226;   2726242;     13947
як1455                        ;       251;      2226;   2726243;    307611
як1455                        ;       251;      2226;   2726274;    193527
як1455                        ;       251;      2226;   2726282;    193525
як1455                        ;       251;      2226;   2726287;     20169
як1455                        ;       251;      2226;   2726291;    125593
як1455                        ;       251;      2226;   2726295;    126617
як1455                        ;       251;      2226;   2726297;     19681
як1455                        ;       251;      2226;   2726299;    129424
як1455                        ;       251;      2226;   2726301;     19683
як1455                        ;       251;      2226;   2726303;    233802
як1455                        ;       251;      2226;   2726304;      5431
як1455                        ;       251;      2226;   2726305;      5458
як1455                        ;       251;      2226;   2726306;    234057
як1455                        ;       251;      2226;   2726307;    161022
як1455                        ;       251;      2226;   2726308;    702200
як1455                        ;       251;      2226;   2726309;    235222
як1455                        ;       251;      2226;   2726310;    222264
як1455                        ;       251;      2226;   2726311;   1289463
як1455                        ;       251;      2226;   2726312;    421002
як1455                        ;       251;      2226;   2726313;    234078
як1455                        ;       251;      2226;   2726314;    234094
як1455                        ;       251;      2226;   2726315;    465861
як1455                        ;       251;      2226;   2726316;   1289520
як1455                        ;       251;      2226;   2726317;    175275
як1455                        ;       251;      2226;   2726318;    175434
як1455                        ;       251;      2226;   2726319;    169662
як1455                        ;       251;      2226;   2726320;    169791
як1455                        ;       251;      2226;   2726321;    221548
як1455                        ;       251;      2226;   2726322;    172066
як1455                        ;       251;      2226;   2726325;   1099380
як1455                        ;       251;      2226;   2726326;    193551
як1455                        ;       251;      2226;   2726328;    845700
як1455                        ;       251;      2226;   2726333;    220982
як1455                        ;       251;      2226;   2726335;    222115
як1455                        ;       251;      2226;   2726336;    195287
як1455                        ;       251;      2226;   2726337;    328540
як1455                        ;       251;      2226;   2726338;    195027
як1455                        ;       251;      2226;   2726339;    293721
як1455                        ;       251;      2226;   2726340;    293722
як1455                        ;       251;      2226;   2726341;    293563
як1455                        ;       251;      2226;   2726342;    395761
як1455                        ;       251;      2226;   2726343;   1296081
як1455                        ;       251;      2226;   2726344;    265289
як1455                        ;       251;      2226;   2726345;    715360
як1455                        ;       251;      2226;   2726346;    714986
як1455                        ;       251;      2226;   2726347;    715048
як1455                        ;       251;      2226;   2726348;    716121
як1455                        ;       251;      2226;   2726349;   1296082
як1455                        ;       251;      2226;   2726350;    882623
як1455                        ;       251;      2226;   2726351;    882622
як1455                        ;       251;      2226;   2726352;    882621
як1455                        ;       251;      2226;   2726353;    187691
як1455                        ;       251;      2226;   2726354;   1061120
як1455                        ;       251;      2226;   2726525;   1032665
як1455                        ;       251;      2226;   2726526;   1067241
як1455                        ;       251;      2226;   2726527;   1031544
як1455                        ;       251;      2226;   2726528;   1067243
як1455                        ;       251;      2226;   2726529;   1253341
як1455                        ;       251;      2226;   2726545;   1036163
як1455                        ;       251;      2226;   2726546;   1296180
як1455                        ;       251;      2226;   2726547;   1031603
як1455                        ;       251;      2226;   2726565;   1000554
як1455                        ;       251;      2226;   2726566;    227298
як1455                        ;       251;      2226;   2726567;    227207
як1455                        ;       251;      2226;   2726568;      8123
як1455                        ;       251;      2226;   2726569;      8102
як1455                        ;       251;      2226;   2726570;    124621
як1455                        ;       251;      2226;   2726571;    124985
як1455                        ;       251;      2226;   2726572;    124979
як1455                        ;       251;      2226;   2726573;    234591
як1455                        ;       251;      2226;   2726574;    234714
як1455                        ;       251;      2226;   2726575;    234852
як1455                        ;       251;      2226;   2726576;    240607
як1455                        ;       251;      2226;   2726577;    243549
як1455                        ;       251;      2226;   2726585;    892154
як1455                        ;       251;      2226;   2726436;   1296142
як1455                        ;       251;      2226;   2726437;   1296143
як1455                        ;       251;      2226;   2726435;   1296141
як1455                        ;       251;      2226;   2726438;   1080244
як1455                        ;       251;      2226;   2726440;   1296144
як1455                        ;       251;      2226;   2726444;   1296145
як1455                        ;       251;      2226;   2726445;   1296146
як1455                        ;       251;      2226;   2726446;   1296147
як1455                        ;       251;      2226;   2726447;   1099603
як1455                        ;       251;      2226;   2726448;   1296120
як1455                        ;       251;      2226;   2726449;   1296121
як1455                        ;       251;      2226;   2726450;   1296122
як1455                        ;       251;      2226;   2726468;   1296161
як1455                        ;       251;      2226;   2726465;    243526
як1455                        ;       251;      2226;   2726466;    243561
як1455                        ;       251;      2226;   2726467;   1296160
як1455                        ;       251;      2226;   2726469;   1296162
як1455                        ;       251;      2226;   2726470;   1296163
як1455                        ;       251;      2226;   2726471;   1032372
як1455                        ;       251;      2226;   2726472;   1032371
